source_id,target_id,relation,weight
job_glassdoor_ma_1008685852137,skill_APIs,REQUIRES,1
job_glassdoor_ma_1008685852137,skill_Bac_5_math_matiques_ou_statistiques_et_informatique_avec_une_sp_cialisation_en_analyse_de_donn_es,REQUIRES,1
job_glassdoor_ma_1008685852137,skill_Capacit_s_exceptionnelles_d_analyse_de_conception_et_de_r_solution_de_probl_mes,REQUIRES,1
job_glassdoor_ma_1008685852137,skill_Les_certifications_sont_un_plus,REQUIRES,1
job_glassdoor_ma_1008685852137,skill_Minimum_8_ans_d_exp_riences_en_business_Intelligence_ou_visualisation_de_donn_es,REQUIRES,1
job_glassdoor_ma_1008685852137,skill_Power_BI,REQUIRES,1
job_glassdoor_ma_1008685852137,skill_qlik,REQUIRES,1
job_glassdoor_ma_1008685852137,skill_REST_APIs,REQUIRES,1
job_glassdoor_ma_1008685852137,skill_Tableau,REQUIRES,1
job_glassdoor_ma_1008685852137,company_Unknown,POSTED_BY,1
job_glassdoor_ma_1009308967052,skill_Spark,REQUIRES,1
job_glassdoor_ma_1009308967052,skill_Go,REQUIRES,1
job_glassdoor_ma_1009308967052,skill_cybersecurity,REQUIRES,1
job_glassdoor_ma_1009308967052,skill_consulting,REQUIRES,1
job_glassdoor_ma_1009308967052,company_Boston_Consulting_Group,POSTED_BY,1
job_glassdoor_ma_1009375736507,company_CIH_BANK,POSTED_BY,1
job_glassdoor_ma_1009386817399,skill_next,REQUIRES,1
job_glassdoor_ma_1009386817399,skill_SQL,REQUIRES,1
job_glassdoor_ma_1009386817399,skill_Power_BI,REQUIRES,1
job_glassdoor_ma_1009386817399,skill_Tableau,REQUIRES,1
job_glassdoor_ma_1009386817399,company_CIH_BANK,POSTED_BY,1
job_glassdoor_ma_1009472647937,skill_MongoDB,REQUIRES,1
job_glassdoor_ma_1009472647937,skill_PostgreSQL,REQUIRES,1
job_glassdoor_ma_1009472647937,skill_Airflow,REQUIRES,1
job_glassdoor_ma_1009472647937,skill_ETL,REQUIRES,1
job_glassdoor_ma_1009472647937,skill_SQL,REQUIRES,1
job_glassdoor_ma_1009472647937,skill_AWS,REQUIRES,1
job_glassdoor_ma_1009472647937,skill_Azure,REQUIRES,1
job_glassdoor_ma_1009472647937,skill_GCP,REQUIRES,1
job_glassdoor_ma_1009472647937,skill_Docker,REQUIRES,1
job_glassdoor_ma_1009472647937,skill_Kubernetes,REQUIRES,1
job_glassdoor_ma_1009472647937,skill_Java,REQUIRES,1
job_glassdoor_ma_1009472647937,skill_Python,REQUIRES,1
job_glassdoor_ma_1009472647937,skill_Scala,REQUIRES,1
job_glassdoor_ma_1009472647937,company_Neoptim_Consulting,POSTED_BY,1
job_glassdoor_ma_1009587446142,skill_Machine_Learning,REQUIRES,1
job_glassdoor_ma_1009587446142,skill_Airflow,REQUIRES,1
job_glassdoor_ma_1009587446142,skill_hadoop,REQUIRES,1
job_glassdoor_ma_1009587446142,skill_Kafka,REQUIRES,1
job_glassdoor_ma_1009587446142,skill_ansible,REQUIRES,1
job_glassdoor_ma_1009587446142,skill_CI_CD,REQUIRES,1
job_glassdoor_ma_1009587446142,skill_grafana,REQUIRES,1
job_glassdoor_ma_1009587446142,skill_jenkins,REQUIRES,1
job_glassdoor_ma_1009587446142,skill_Kubernetes,REQUIRES,1
job_glassdoor_ma_1009587446142,skill_mlflow,REQUIRES,1
job_glassdoor_ma_1009587446142,skill_Terraform,REQUIRES,1
job_glassdoor_ma_1009587446142,company_CIH_BANK,POSTED_BY,1
job_glassdoor_ma_1009649290508,skill_next,REQUIRES,1
job_glassdoor_ma_1009649290508,skill_SQL,REQUIRES,1
job_glassdoor_ma_1009649290508,skill_Tableau,REQUIRES,1
job_glassdoor_ma_1009649290508,company_BNP_Paribas,POSTED_BY,1
job_glassdoor_ma_1009767636277,skill_Deep_Learning,REQUIRES,1
job_glassdoor_ma_1009767636277,skill_Machine_Learning,REQUIRES,1
job_glassdoor_ma_1009767636277,skill_next,REQUIRES,1
job_glassdoor_ma_1009767636277,company_Stellantis,POSTED_BY,1
job_glassdoor_ma_1009896932256,skill_next,REQUIRES,1
job_glassdoor_ma_1009896932256,skill_Airflow,REQUIRES,1
job_glassdoor_ma_1009896932256,skill_Kafka,REQUIRES,1
job_glassdoor_ma_1009896932256,skill_Spark,REQUIRES,1
job_glassdoor_ma_1009896932256,skill_SQL,REQUIRES,1
job_glassdoor_ma_1009896932256,skill_Python,REQUIRES,1
job_glassdoor_ma_1009896932256,skill_consulting,REQUIRES,1
job_glassdoor_ma_1009896932256,company_BROME_Consulting_Technology,POSTED_BY,1
job_glassdoor_ma_1009903026789,skill_Machine_Learning,REQUIRES,1
job_glassdoor_ma_1009903026789,skill_Airflow,REQUIRES,1
job_glassdoor_ma_1009903026789,skill_Databricks,REQUIRES,1
job_glassdoor_ma_1009903026789,skill_SQL,REQUIRES,1
job_glassdoor_ma_1009903026789,skill_AWS,REQUIRES,1
job_glassdoor_ma_1009903026789,skill_Azure,REQUIRES,1
job_glassdoor_ma_1009903026789,skill_GCP,REQUIRES,1
job_glassdoor_ma_1009903026789,skill_Docker,REQUIRES,1
job_glassdoor_ma_1009903026789,skill_Kubernetes,REQUIRES,1
job_glassdoor_ma_1009903026789,skill_Python,REQUIRES,1
job_glassdoor_ma_1009903026789,skill_R,REQUIRES,1
job_glassdoor_ma_1009903026789,skill_Scala,REQUIRES,1
job_glassdoor_ma_1009903026789,skill_Statistics,REQUIRES,1
job_glassdoor_ma_1009903026789,company_McKinsey_Company,POSTED_BY,1
job_glassdoor_ma_1009914011643,skill_next,REQUIRES,1
job_glassdoor_ma_1009914011643,skill_ETL,REQUIRES,1
job_glassdoor_ma_1009914011643,skill_SQL,REQUIRES,1
job_glassdoor_ma_1009914011643,skill_Python,REQUIRES,1
job_glassdoor_ma_1009914011643,skill_consulting,REQUIRES,1
job_glassdoor_ma_1009914011643,company_BROME_Consulting_Technology,POSTED_BY,1
job_glassdoor_ma_1009914158741,skill_hadoop,REQUIRES,1
job_glassdoor_ma_1009914158741,skill_SQL,REQUIRES,1
job_glassdoor_ma_1009914158741,skill_ansible,REQUIRES,1
job_glassdoor_ma_1009914158741,skill_CI_CD,REQUIRES,1
job_glassdoor_ma_1009914158741,skill_Docker,REQUIRES,1
job_glassdoor_ma_1009914158741,skill_jenkins,REQUIRES,1
job_glassdoor_ma_1009914158741,skill_Terraform,REQUIRES,1
job_glassdoor_ma_1009914158741,skill_Python,REQUIRES,1
job_glassdoor_ma_1009914158741,company_CIH_BANK,POSTED_BY,1
job_glassdoor_ma_1009916297045,skill_Machine_Learning,REQUIRES,1
job_glassdoor_ma_1009916297045,skill_React,REQUIRES,1
job_glassdoor_ma_1009916297045,skill_Airflow,REQUIRES,1
job_glassdoor_ma_1009916297045,skill_CI_CD,REQUIRES,1
job_glassdoor_ma_1009916297045,skill_Docker,REQUIRES,1
job_glassdoor_ma_1009916297045,skill_Kubernetes,REQUIRES,1
job_glassdoor_ma_1009916297045,skill_Java,REQUIRES,1
job_glassdoor_ma_1009916297045,skill_Python,REQUIRES,1
job_glassdoor_ma_1009916297045,company_Coface,POSTED_BY,1
job_glassdoor_ma_1009928509830,skill_Fine_tuning,REQUIRES,1
job_glassdoor_ma_1009928509830,skill_GenAI,REQUIRES,1
job_glassdoor_ma_1009928509830,skill_LLM,REQUIRES,1
job_glassdoor_ma_1009928509830,skill_RAG,REQUIRES,1
job_glassdoor_ma_1009928509830,skill_Machine_Learning,REQUIRES,1
job_glassdoor_ma_1009928509830,skill_Python,REQUIRES,1
job_glassdoor_ma_1009928509830,company_Unknown,POSTED_BY,1
job_glassdoor_ma_1009946519065,skill_Agile,REQUIRES,1
job_glassdoor_ma_1009946519065,company_CIH_BANK,POSTED_BY,1
job_glassdoor_ma_1009975381863,skill_Machine_Learning,REQUIRES,1
job_glassdoor_ma_1009975381863,skill_Airflow,REQUIRES,1
job_glassdoor_ma_1009975381863,skill_Databricks,REQUIRES,1
job_glassdoor_ma_1009975381863,skill_SQL,REQUIRES,1
job_glassdoor_ma_1009975381863,skill_AWS,REQUIRES,1
job_glassdoor_ma_1009975381863,skill_Azure,REQUIRES,1
job_glassdoor_ma_1009975381863,skill_GCP,REQUIRES,1
job_glassdoor_ma_1009975381863,skill_Docker,REQUIRES,1
job_glassdoor_ma_1009975381863,skill_Kubernetes,REQUIRES,1
job_glassdoor_ma_1009975381863,skill_Python,REQUIRES,1
job_glassdoor_ma_1009975381863,skill_R,REQUIRES,1
job_glassdoor_ma_1009975381863,skill_Scala,REQUIRES,1
job_glassdoor_ma_1009975381863,skill_Statistics,REQUIRES,1
job_glassdoor_ma_1009975381863,company_McKinsey_Company,POSTED_BY,1
job_glassdoor_ma_1010000570260,skill_Machine_Learning,REQUIRES,1
job_glassdoor_ma_1010000570260,skill_scikit_learn,REQUIRES,1
job_glassdoor_ma_1010000570260,skill_Data_Warehouse,REQUIRES,1
job_glassdoor_ma_1010000570260,skill_ETL,REQUIRES,1
job_glassdoor_ma_1010000570260,skill_Pandas,REQUIRES,1
job_glassdoor_ma_1010000570260,skill_SQL,REQUIRES,1
job_glassdoor_ma_1010000570260,skill_Azure,REQUIRES,1
job_glassdoor_ma_1010000570260,skill_CI_CD,REQUIRES,1
job_glassdoor_ma_1010000570260,skill_mlflow,REQUIRES,1
job_glassdoor_ma_1010000570260,skill_Python,REQUIRES,1
job_glassdoor_ma_1010000570260,skill_automotive,REQUIRES,1
job_glassdoor_ma_1010000570260,skill_consulting,REQUIRES,1
job_glassdoor_ma_1010000570260,skill_data_visualization,REQUIRES,1
job_glassdoor_ma_1010000570260,skill_Power_BI,REQUIRES,1
job_glassdoor_ma_1010000570260,company_A2MAC1,POSTED_BY,1
job_glassdoor_ma_1010005833420,skill_Machine_Learning,REQUIRES,1
job_glassdoor_ma_1010005833420,skill_next,REQUIRES,1
job_glassdoor_ma_1010005833420,skill_SQL,REQUIRES,1
job_glassdoor_ma_1010005833420,skill_consulting,REQUIRES,1
job_glassdoor_ma_1010005833420,company_BROME_Consulting_Technology,POSTED_BY,1
job_glassdoor_ma_1010030035083,skill_Machine_Learning,REQUIRES,1
job_glassdoor_ma_1010030035083,skill_hadoop,REQUIRES,1
job_glassdoor_ma_1010030035083,skill_Python,REQUIRES,1
job_glassdoor_ma_1010030035083,skill_R,REQUIRES,1
job_glassdoor_ma_1010030035083,skill_ruby,REQUIRES,1
job_glassdoor_ma_1010030035083,skill_Statistics,REQUIRES,1
job_glassdoor_ma_1010030035083,company_McKinsey_Company,POSTED_BY,1
job_glassdoor_ma_1010032857038,skill_Machine_Learning,REQUIRES,1
job_glassdoor_ma_1010032857038,skill_PyTorch,REQUIRES,1
job_glassdoor_ma_1010032857038,skill_scikit_learn,REQUIRES,1
job_glassdoor_ma_1010032857038,skill_TensorFlow,REQUIRES,1
job_glassdoor_ma_1010032857038,skill_NumPy,REQUIRES,1
job_glassdoor_ma_1010032857038,skill_Pandas,REQUIRES,1
job_glassdoor_ma_1010032857038,skill_Python,REQUIRES,1
job_glassdoor_ma_1010032857038,company_CIH_BANK,POSTED_BY,1
job_glassdoor_ma_1010039184617,skill_next,REQUIRES,1
job_glassdoor_ma_1010039184617,skill_Databricks,REQUIRES,1
job_glassdoor_ma_1010039184617,skill_pipeline,REQUIRES,1
job_glassdoor_ma_1010039184617,skill_SQL,REQUIRES,1
job_glassdoor_ma_1010039184617,skill_CI_CD,REQUIRES,1
job_glassdoor_ma_1010039184617,company_AVL,POSTED_BY,1
job_glassdoor_ma_1010040645929,skill_SQL,REQUIRES,1
job_glassdoor_ma_1010040645929,skill_Python,REQUIRES,1
job_glassdoor_ma_1010040645929,skill_Power_BI,REQUIRES,1
job_glassdoor_ma_1010040645929,skill_Tableau,REQUIRES,1
job_glassdoor_ma_1010040645929,company_Unknown,POSTED_BY,1
job_glassdoor_ma_1010045038766,skill_Deep_Learning,REQUIRES,1
job_glassdoor_ma_1010045038766,skill_Machine_Learning,REQUIRES,1
job_glassdoor_ma_1010045038766,skill_PyTorch,REQUIRES,1
job_glassdoor_ma_1010045038766,skill_scikit_learn,REQUIRES,1
job_glassdoor_ma_1010045038766,skill_TensorFlow,REQUIRES,1
job_glassdoor_ma_1010045038766,skill_Data_Lake,REQUIRES,1
job_glassdoor_ma_1010045038766,skill_Databricks,REQUIRES,1
job_glassdoor_ma_1010045038766,skill_SQL,REQUIRES,1
job_glassdoor_ma_1010045038766,skill_Azure,REQUIRES,1
job_glassdoor_ma_1010045038766,skill_CI_CD,REQUIRES,1
job_glassdoor_ma_1010045038766,skill_Docker,REQUIRES,1
job_glassdoor_ma_1010045038766,skill_github_actions,REQUIRES,1
job_glassdoor_ma_1010045038766,skill_kubeflow,REQUIRES,1
job_glassdoor_ma_1010045038766,skill_mlflow,REQUIRES,1
