node_id,node_type,name,title_canonical,ai_type,job_family,posted_month,origine,source,famille,stage,focus
job_glassdoor_ma_1010099863392,Job,,Lead Data Scientist,ml-first,DATA_SCIENTIST,2026-04,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010100185348,Job,,Analyste Data / Dashboard & IA,non-ai,OTHER,2026-04,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010102811101,Job,,Data Scientist – Senior Consultant,ml-first,DATA_SCIENTIST,2026-04,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010103272816,Job,,Associate Analyst- Data Solutions,non-ai,OTHER,2026-04,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010103338050,Job,,Consultants DATA (PO / Data Analyst),non-ai,DATA_ANALYST,2026-04,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010104849671,Job,,Data Analyst BI & Performance Franco Anglo,non-ai,DATA_ANALYST,2026-04,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010110832598,Job,,Data Analyst,non-ai,DATA_ANALYST,2026-04,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010114706368,Job,,Power BI Reporting & Data Analyst,non-ai,DATA_ANALYST,2026-04,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010117994414,Job,,Data Scientist Confirmé – SQL / Python / GCP,ml-first,DATA_SCIENTIST,2026-05,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010121908400,Job,,Data Analyst,non-ai,DATA_ANALYST,2026-05,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010122707563,Job,,Data Analyst,non-ai,DATA_ANALYST,2026-05,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010122722419,Job,,Data Architect,ml-first,DATA_ARCHITECT,2026-05,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010122866323,Job,,Data Analyst,non-ai,DATA_ANALYST,2026-05,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010124190982,Job,,Data Scientist,ml-first,DATA_SCIENTIST,2026-05,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010125282808,Job,,Senior / Lead AI Engineer,ai-first,AI_ENGINEER,2026-05,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010126452847,Job,,Data Scientist,ai-first,DATA_SCIENTIST,2026-05,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010126452940,Job,,Data Engineer,ml-first,DATA_ENGINEER,2026-05,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010126456221,Job,,Data Analyst,non-ai,DATA_ANALYST,2026-05,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010128156291,Job,,**Data Scientist Confirmé – Freelance**,ml-first,DATA_SCIENTIST,2026-05,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010128275066,Job,,Associate Data Engineer,non-ai,DATA_ENGINEER,2026-05,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010131559668,Job,,Data Analyst Intern,non-ai,DATA_ANALYST,2026-05,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010132138118,Job,,AI Engineer,ai-first,AI_ENGINEER,2026-05,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010132571648,Job,,Data Engineer Senior GCP (H/F) Devoteam Maroc Nearshore,ml-first,DATA_ENGINEER,2026-05,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010133828459,Job,,Offre De Stage – Data Analyst (stage De 6 Mois),non-ai,DATA_ANALYST,2026-05,Maroc,glassdoor-ma,,,
